farmer_id,name,district_id,vegetables_grown,phone,whatsapp,email,land_acres,price,quantity
1,Ramesh Reddy,2,Onion,9903074141,9927170641,farmer1@mail.com,7.76,25.15,916.0
2,Manoj Kumar,9,Cabbage,9223064742,9526524070,farmer2@mail.com,10.73,23.63,461.0
3,Vijay Reddy,9,Brinjal,9689469405,9709059966,farmer3@mail.com,2.69,63.43,738.0
4,Ramesh Naidu,7,Cauliflower,9264576346,9178716997,farmer4@mail.com,8.85,33.22,947.0
5,Suresh Kumar,6,Brinjal,9717324939,9651669379,farmer5@mail.com,16.97,63.84,978.0
6,Vijay Kumar,4,Bottle Gourd,9702306781,9416710648,farmer6@mail.com,9.21,24.48,495.0
7,Mahesh Reddy,8,Spinach,9903203759,9862216831,farmer7@mail.com,2.66,44.31,54.0
8,Kiran Rao,4,Green Chilli,9668364036,9442240702,farmer8@mail.com,18.73,58.15,509.0
9,Arjun Naidu,8,Tomato,9228841094,9285513092,farmer9@mail.com,17.55,36.55,786.0
10,Kiran Naidu,2,Brinjal,9918528772,9929745033,farmer10@mail.com,19.29,37.1,310.0
11,Kiran Rao,2,Brinjal,9332149738,9832953058,farmer11@mail.com,15.6,26.55,806.0
12,Mahesh Naidu,12,Okra,9334223841,9503198366,farmer12@mail.com,19.8,33.29,899.0
13,Ajay Naidu,1,Bottle Gourd,9837681522,9492973342,farmer13@mail.com,7.6,24.02,344.0
14,Manoj Kumar,12,Tomato,9810638635,9689510627,farmer14@mail.com,1.75,31.82,362.0
15,Mahesh Reddy,11,Bottle Gourd,9970863348,9670597955,farmer15@mail.com,7.29,29.48,104.0
16,Naresh Kumar,6,Spinach,9236211252,9738766288,farmer16@mail.com,8.65,32.79,856.0
17,Vijay Naidu,12,Onion,9381427078,9661859088,farmer17@mail.com,4.33,35.14,263.0
18,Vijay Naidu,3,Okra,9462620930,9710751100,farmer18@mail.com,19.83,62.86,24.0
19,Ramesh Kumar,4,Green Chilli,9385370627,9473392479,farmer19@mail.com,16.98,39.61,230.0
20,Vijay Rao,10,Okra,9354895416,9523087699,farmer20@mail.com,3.11,23.83,52.0
21,Suresh Reddy,1,Tomato,9306426478,9977198265,farmer21@mail.com,10.29,33.52,714.0
22,Arjun Naidu,3,Cabbage,9735363909,9845042780,farmer22@mail.com,17.53,19.08,916.0
23,Ravi Kumar,9,Bottle Gourd,9408358804,9608466783,farmer23@mail.com,6.43,25.04,26.0
24,Mahesh Reddy,4,Tomato,9742719390,9198852107,farmer24@mail.com,11.04,43.71,593.0
25,Suresh Naidu,6,Spinach,9409559028,9558324107,farmer25@mail.com,12.9,43.66,180.0
26,Mahesh Kumar,2,Cabbage,9173456633,9721784242,farmer26@mail.com,18.42,54.89,425.0
27,Ajay Reddy,1,Bottle Gourd,9933737427,9151664175,farmer27@mail.com,14.95,17.3,504.0
28,Suresh Rao,3,Brinjal,9179152391,9259057329,farmer28@mail.com,14.68,49.07,123.0
29,Kiran Rao,3,Tomato,9962530446,9360729893,farmer29@mail.com,19.95,44.49,450.0
30,Ajay Reddy,6,Green Chilli,9219117790,9543655905,farmer30@mail.com,18.93,48.65,954.0
31,Kiran Rao,2,Brinjal,9915923655,9820934108,farmer31@mail.com,12.61,43.93,485.0
32,Vijay Kumar,12,Tomato,9655207419,9552634038,farmer32@mail.com,2.67,42.46,491.0
33,Kiran Reddy,5,Bottle Gourd,9478873352,9518990979,farmer33@mail.com,4.75,24.33,242.0
34,Suresh Rao,5,Brinjal,9659293335,9114361889,farmer34@mail.com,7.93,60.34,822.0
35,Vijay Reddy,3,Green Chilli,9583845147,9892385343,farmer35@mail.com,1.73,54.32,218.0
36,Ravi Kumar,10,Cauliflower,9616358302,9836817226,farmer36@mail.com,17.02,64.91,275.0
37,Kiran Reddy,1,Cauliflower,9123916666,9559856503,farmer37@mail.com,6.61,59.71,63.0
38,Vijay Kumar,7,Cauliflower,9802697404,9113931193,farmer38@mail.com,6.49,16.67,507.0
39,Ravi Naidu,8,Cabbage,9331539554,9971791902,farmer39@mail.com,8.79,46.7,856.0
40,Naresh Rao,4,Okra,9477793379,9206936639,farmer40@mail.com,15.26,47.39,757.0
41,Arjun Kumar,11,Cabbage,9434792571,9873779023,farmer41@mail.com,15.88,61.06,471.0
42,Naresh Rao,10,Onion,9297007254,9694153025,farmer42@mail.com,5.02,31.08,830.0
43,Kiran Rao,4,Cabbage,9834565528,9523987056,farmer43@mail.com,3.94,19.18,428.0
44,Vijay Reddy,12,Cauliflower,9295427675,9802858591,farmer44@mail.com,16.01,57.17,232.0
45,Naresh Naidu,4,Green Chilli,9487754362,9762116793,farmer45@mail.com,13.71,43.65,802.0
46,Vijay Kumar,3,Spinach,9460267133,9579613598,farmer46@mail.com,8.84,43.08,998.0
47,Ajay Kumar,12,Tomato,9768117882,9915996621,farmer47@mail.com,17.23,42.55,435.0
48,Suresh Reddy,8,Bottle Gourd,9800255803,9956795089,farmer48@mail.com,10.61,35.36,219.0
49,Arjun Reddy,9,Bottle Gourd,9274889649,9358011909,farmer49@mail.com,2.8,51.47,837.0
50,Naresh Naidu,6,Onion,9498955959,9227172116,farmer50@mail.com,3.13,20.55,944.0
51,Ramesh Reddy,11,Cabbage,9563177361,9574231839,farmer51@mail.com,18.41,29.21,249.0
52,Kiran Naidu,11,Onion,9592472043,9242988087,farmer52@mail.com,14.57,35.94,284.0
53,Vijay Reddy,8,Okra,9307208829,9621245341,farmer53@mail.com,1.04,45.33,708.0
54,Suresh Reddy,11,Spinach,9309312818,9797443523,farmer54@mail.com,18.61,61.34,741.0
55,Ajay Kumar,4,Spinach,9345554733,9375769994,farmer55@mail.com,9.56,58.22,462.0
56,Kiran Kumar,10,Okra,9223809749,9299233631,farmer56@mail.com,14.78,51.85,135.0
57,Ajay Naidu,10,Onion,9302952737,9185422462,farmer57@mail.com,6.26,41.89,648.0
58,Manoj Naidu,12,Cauliflower,9720190061,9169423418,farmer58@mail.com,16.4,38.83,108.0
59,Naresh Kumar,4,Tomato,9109038022,9746248984,farmer59@mail.com,2.89,29.83,902.0
60,Ravi Rao,1,Bottle Gourd,9193288704,9989661967,farmer60@mail.com,5.8,48.86,823.0
61,Mahesh Rao,3,Cabbage,9978070417,9397377091,farmer61@mail.com,14.47,39.33,971.0
62,Vijay Rao,7,Cabbage,9818118612,9423225202,farmer62@mail.com,14.42,61.23,516.0
63,Ramesh Rao,6,Onion,9176201857,9593947438,farmer63@mail.com,5.01,46.03,305.0
64,Manoj Naidu,5,Brinjal,9269489964,9427209552,farmer64@mail.com,16.83,63.93,961.0
65,Mahesh Naidu,9,Spinach,9712218380,9950432557,farmer65@mail.com,3.77,50.95,663.0
66,Ajay Naidu,11,Brinjal,9329677765,9587490379,farmer66@mail.com,14.17,23.99,611.0
67,Manoj Naidu,7,Spinach,9239084969,9244989937,farmer67@mail.com,19.39,37.5,110.0
68,Ajay Rao,5,Onion,9708050532,9819753818,farmer68@mail.com,18.87,45.53,28.0
69,Kiran Naidu,4,Green Chilli,9150132783,9154000656,farmer69@mail.com,8.01,44.58,233.0
70,Ajay Naidu,12,Cauliflower,9898484682,9488096810,farmer70@mail.com,3.6,40.19,911.0
71,Mahesh Rao,12,Onion,9932637188,9684501314,farmer71@mail.com,19.46,20.52,955.0
72,Arjun Naidu,3,Cauliflower,9717620565,9159229831,farmer72@mail.com,8.67,32.76,148.0
73,Manoj Kumar,5,Cabbage,9835129008,9893492237,farmer73@mail.com,9.36,52.83,307.0
74,Manoj Naidu,10,Green Chilli,9444763743,9331927667,farmer74@mail.com,8.99,51.12,101.0
75,Manoj Naidu,6,Bottle Gourd,9861920605,9644347526,farmer75@mail.com,16.66,33.06,340.0
76,Manoj Kumar,8,Cabbage,9866796852,9739795982,farmer76@mail.com,12.88,37.13,832.0
77,Ramesh Kumar,9,Cabbage,9969784027,9711729990,farmer77@mail.com,10.9,24.11,787.0
78,Ramesh Naidu,3,Brinjal,9480075967,9413206216,farmer78@mail.com,11.12,43.57,652.0
